case_id,criterion,pull,argument
C-1,requirements,predictive,"Формат пакету жорстко описаний наказом регулятора, специфікація полів фіксована і за півроку не змінювалась"
C-1,technology,adaptive,"API реєстру запустили нещодавно, документація неповна, поведінка методів несподівано змінювалась двічі за квартал"
C-1,release_cost,predictive,"Помилка у пакеті призводить до припису від регулятора, а дата подання звітності жорстко зафіксована наказом"
C-1,customer,predictive,"Контактна особа відповідає за 3-5 днів, відмовляється від щотижневих демо і приймає роботу лише за актом раз на етап"
C-1,contract,predictive,"Роботу виграно на тендері за fixed price, зміна обсягу вимагає додаткової угоди та двотижневого погодження юристів"
C-1,team,predictive,"Команда з 7 людей, частина підрядників працює віддалено у своєму графіку, а тестувальник ділиться між двома проєктами"
C-2,requirements,adaptive,"Вимоги живуть гіпотезами, беклог постійно переписується після інтерв'ю з користувачами, річного плану функцій немає"
C-2,technology,predictive,"Стек звичний команді, вона робила на ньому попередній продукт, а платежі йдуть через провайдера з нормальною документацією"
C-2,release_cost,predictive,"Помилка в розрахунку застави означає незаконне списання грошей з клієнтів, ручні повернення та ризик блокування еквайрингу"
C-2,customer,adaptive,"Замовник-співзасновник сидить в одній кімнаті з командою, дивиться демо щоп'ятниці та оперативно ухвалює рішення про обсяг"
C-2,contract,adaptive,"Жодних фіксованих договорів чи ТЗ немає, є лише бюджет інвестора на 9 місяців роботи продуктової команди без фіксованого обсягу"
C-2,team,adaptive,"П'ятеро спеціалістів сидять в одній кімнаті, всі крос-функціональні і можуть брати будь-яку задачу без вузьких спеціалізацій"
C-3,requirements,adaptive,"Реальний процес погодження знають лише три людини, на кожному демо постійно з'являються нові непередбачені винятки"
C-3,technology,adaptive,"Дані треба переносити зі старої системи без документації, якість даних невідома, у багатьох договорів порожні обов'язкові поля"
C-3,release_cost,adaptive,"Система внутрішня для 40 користувачів, більшість помилок ловиться того ж дня і легко виправляється наступного дня"
C-3,customer,adaptive,"Керівниця юридичного відділу сильно зацікавлена, доступна раз на тиждень, приходить на демо і дає розгорнутий зворотний зв'язок"
C-3,contract,predictive,"Бюджет жорстко затверджений наглядовою радою на рік і не переглядається, а будь-яка зміна вимагає підпису фіндиректора"
C-3,team,adaptive,"Команда з чотирьох спеціалістів сидить в одному офісі, працює разом уже два роки та спокійно бере суміжні задачі"
